path,created,処分,カテゴリ,理由,備考
eezo_order_split.py,2026-07-15,正本,code,スクリプト正本,重複登録あり
参照C_正規化ルール.md,2026-07-07,正本,10_rules,ルール・参照定義の正本,
参照B_大分類小分類マスタ.md,2026-07-07,正本,10_rules,ルール・参照定義の正本,
参照A_列定義仕様_28列_v2.md,2026-07-07,正本,10_rules,ルール・参照定義の正本,
20260707_SPEC_ナレフルエージェント_見積CSV変換構築ガイド_v2.md,2026-07-07,正本,20_specs,現行仕様書,
参照03_ステージ定義と出力フォーマット_v2.md,2026-07-06,正本,10_rules,ルール・参照定義の正本,
参照02_KWタグ辞書とBU_SI一覧_v2.md,2026-07-06,正本,10_rules,ルール・参照定義の正本,
参照01_用語とお作法_v2.md,2026-07-06,正本,10_rules,ルール・参照定義の正本,
20260703_SPEC_ナレフルエージェント_案件整理モック構築ガイド_v2.md,2026-07-06,正本,20_specs,現行仕様書,
20260702_DOC_shopifysidekickとの会話,2026-07-02,アーカイブ,archive,会話ログ,
20260702_PLAN_エゾシカBtoB_顧客タグ体系_マッチング構想.md,2026-07-02,正本,30_plans,現役構想,重複登録あり
20260630_DATA_ヤマト運輸法人運賃_割引率分析.md,2026-06-30,正本,40_data,データ・分析,
build_supplier_map.py,2026-06-30,正本,code,スクリプト正本,
supplier_map.json,2026-06-30,正本,code,スクリプト正本,
20260630_SPEC_EEZO発送リスト自動化_v0.6.md,2026-06-30,正本,20_specs,現行仕様書,
20260625_DOC_EEZO発注メール_ECドロップシップ型フォーマット.md,2026-06-24,正本,10_rules,現行運用フォーマット,
20260619_SPEC_EEZO_URLハンドル命名規則.md,2026-06-19,正本,10_rules,ルール・参照定義の正本,
20260603_PLAN_EEZO_ezoshika_page_brief.md,2026-06-14,正本,30_plans,現行サイト資産,
20260603_DOC_EEZO_ezoshika_LP_copy.md,2026-06-14,正本,30_plans,現行サイト資産,
20260604_PLAN_試飲診断ロジック_会津地酒展示会.md,2026-06-05,アーカイブ,archive,イベント終了,
20260531_SPEC_EEZO商品カタログ_テンプレート仕様書.md,2026-05-31,正本,20_specs,現行仕様書,
20260526_PLAN_買取催事SI_ターゲット定義_v2.md,2026-05-28,正本,30_plans,現役SI最新版,
20260526_PLAN_買取催事SI_ターゲット定義.md,2026-05-26,アーカイブ,archive,旧版（最新版を正本化）,
20260522_DATA_うま味成分比較_2x2理論試算.md,2026-05-22,正本,40_data,データ・分析,
20260520_MEMO_EEZO_B向けサイト設計_議論経緯と方針.md,2026-05-20,アーカイブ,archive,経緯メモ（履歴価値）,
20260520_DOC_EEZO_ブランドマネジメント定義書_v1.md,2026-05-20,正本,30_plans,現行ブランド定義,
20260520_DOC_EEZOとは_ページコピー_仕入先案内用.md,2026-05-20,正本,30_plans,現行配布資産,
20260514_MEMO_食品輸出EXPO2026_方針変更とタスクリスト.md,2026-05-14,正本,30_plans,EXPO2026現役,
20260513_SPEC_計数管理基盤_全体設計書.md,2026-05-13,正本,20_specs,現行仕様書,
20260514_MEMO_計数管理基盤_引き継ぎ.md,2026-05-13,正本,20_specs,引き継ぎ文書（現行）,
20260511_SPEC_EEZO_PDCA管理フォーマット設計_v2.md,2026-05-11,正本,20_specs,現行仕様書,
20260428_DOC_EEZO_sales_mgmt_design_history.md,2026-04-28,アーカイブ,archive,経緯・完了記録,
20260422_MEMO_松本さん契約満了_続報と残論点.md,2026-04-23,アーカイブ,archive,経緯メモ（履歴価値）,
20260408_PLAN_セリングアイデア_ポートフォリオ_v5.md,2026-04-22,正本,30_plans,SIポートフォリオ最新版,重複登録あり
20260421_MEMO_松本さん契約満了_経緯と残論点.md,2026-04-21,アーカイブ,archive,経緯メモ（履歴価値）,
20260417_MEMO_エゾシカ予約販売サイクル_2軸マトリクス議論の整理.md,2026-04-20,アーカイブ,archive,経緯メモ（履歴価値）,
20260417_MEMO_エゾシカ予約販売サイクル_検討経緯と論点.md,2026-04-17,アーカイブ,archive,経緯メモ（履歴価値）,
20260417_MEMO_オーセント出張まとめ_トピック別詳細.md,2026-04-17,アーカイブ,archive,経緯メモ（履歴価値）,
20260413_DOC_EEZOギフト_商品名_説明文一覧_v7.md,2026-04-13,正本,40_data,商品データ最新版,
20260406_DOC_Shopifyノウハウ_エディConfluence_スナップショット.md,2026-04-06,正本,60_research,参照ナレッジ,
20260403_SPEC_SENDO_v05改修_数式仕様書.md,2026-04-03,正本,20_specs,現行仕様書,
20260403_PLAN_SENDO_v05改修_6課題統合設計.md,2026-04-03,正本,20_specs,現行SENDO仕様,
20260403_DOC_インフォマート商品登録_SENDO連携設計.md,2026-04-03,正本,20_specs,現行連携仕様,
20260402_PLAN_EEZOギフト_商品構造設計.md,2026-04-02,正本,30_plans,現行商品設計,
20260401_PLAN_セリングアイデア_ポートフォリオ_v4.md,2026-03-31,アーカイブ,archive,旧版（最新版を正本化）,
20260330_MEMO_EEZO_法人認証審査_経緯と方針.md,2026-03-30,アーカイブ,archive,経緯メモ（履歴価値）,
20260330_MEMO_EEZO_全体像設計_論点整理.md,2026-03-30,アーカイブ,archive,経緯メモ（履歴価値）,
20260330_VIZ_EEZO_BC_ユーザー動線フロー図.html,2026-03-30,正本,40_data,可視化資産,
20260330_PLAN_EEZOギフト_仕入先候補総覧.md,2026-03-30,正本,40_data,仕入先データ,
20260330_VIZ_EEZO_BC棲み分けサイトマップ_樹形図.html,2026-03-30,正本,40_data,可視化資産,
20260330_PLAN_EEZO_BC棲み分けサイトマップ.md,2026-03-30,正本,20_specs,現行サイト構造,
20260326_PLAN_EEZO_3ライン役割分担_オペレーション設計.md,2026-03-26,正本,30_plans,現行体制設計,
20260326_PLAN_BLING_Beee_EEZO_UGCオペレーション設計.md,2026-03-26,正本,30_plans,現行運用設計,
20260326_MEMO_EEZO_総コスト棚卸しと体制整理.md,2026-03-26,アーカイブ,archive,経緯メモ（履歴価値）,
20260319_PLAN_松本IS_リピート催事ワークフロー.md,2026-03-19,アーカイブ,archive,松本さん契約満了,
20260318_MEMO_エゾシカ全体像_蜂巣資料要約.md,2026-03-19,アーカイブ,archive,経緯メモ（履歴価値）,
20260319_MEMO_エゾシカ事業_社長FB後の状況整理.md,2026-03-19,アーカイブ,archive,経緯メモ（履歴価値）,
20260305_PLAN_セリングアイデア_ポートフォリオ_v3.md,2026-03-09,アーカイブ,archive,旧版（最新版を正本化）,
20260305_PLAN_EEZO販売戦略_タスクマップ_v4.md,2026-03-09,正本,30_plans,タスクマップ最新版,
北海道雪室ビジネス パートナー候補総覧: 新日本海商事の戦略的ロードマップ.md,2026-03-05,正本,60_research,リサーチ資産,
20260113_DOC_日新堂_取引関係整理.md,2026-03-05,正本,40_data,取引先記録,重複登録あり
20260304_DOC_法人ギフト市場リサーチ_EEZO参入検証.md,2026-03-05,正本,60_research,市場リサーチ,
20260303_DOC_EEZO収益モデル_現状整理と残タスク.md,2026-03-03,正本,30_plans,収益モデル現状版,
20260302_SKILL_上申テクニック_蜂巣経由社長決裁.md,2026-03-02,正本,50_skills,業務スキル,
20260226_PLAN_EEZO販売戦略_タスクマップ_v3.md,2026-02-26,アーカイブ,archive,旧版（最新版を正本化）,
20260226_PLAN_EEZO販売戦略_タスクマップ_v2.md,2026-02-26,アーカイブ,archive,旧版（最新版を正本化）,
20260226_PLAN_EEZOS_引き算プロンプト設計書_v4.md,2026-02-26,正本,20_specs,キャラ生成プロンプト最新,
20260226_堀田キャラクター原案（エエゾン期）.md,2026-02-26,アーカイブ,archive,原案（確定版あり）,
20260225_DOC_EEZOSキャラクター_プロンプト調整経緯.md,2026-02-26,アーカイブ,archive,経緯・完了記録,
20260225_DOCS_キャラクター設定資料：ええぞす（EEZOS）.md,2026-02-25,正本,20_specs,キャラ設定正典,
20260225_PLAN_SNS運用ワークフロー_方向性_v2.md,2026-02-25,正本,30_plans,現行SNS運用方針,
20260225_PLAN_EEZOS_名称企画書.md,2026-02-25,アーカイブ,archive,決定済み企画,
20260224_PLAN_SI-12_DENBAヘルス職域サブスク_販路ブリーフ_v2.md,2026-02-24,正本,30_plans,現役SI,
20260224_DOC_SI-12_DENBAヘルス職域サブスク_包括設計書_v2.md,2026-02-24,正本,30_plans,現役SI,
20260218_DOC_DENBA職域ヘルスSI設計_経緯.md,2026-02-17,アーカイブ,archive,経緯・完了記録,重複登録あり
