商品コード,カテゴリ,商品名,規格,容量,単位,2026/4/23以降 販売税抜単価,メス指定加算,年齢指定加算,サイズ指定,供給区分,温度帯,備考
PRD_SNJ_MKB_0001_00,精肉,馬木葉のエゾシカ肉 カタ正肉,ブロック,約0.8〜5.0kg,kg,825,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,要在庫確認
PRD_SNJ_MKB_0001_50,精肉,馬木葉のエゾシカ肉 カタ正肉,ブロック,約0.8〜5.0kg,kg,825,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認
PRD_SNJ_MKB_0002_50,精肉,馬木葉のエゾシカ肉 カタ正肉 切り落とし,約2.0kgパック,約2.0kg,kg,1200,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,本社通常在庫なし
PRD_SNJ_MKB_0003_00,精肉,馬木葉のエゾシカ肉 ロース正肉【11月・12月販売単価】,ブロック,約0.5〜5.7kg,kg,4400,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,シーズン価格設定あり／要在庫確認
PRD_SNJ_MKB_0003_01,精肉,馬木葉のエゾシカ肉 ロース正肉【1月・2月・10月販売単価】,ブロック,約0.5〜5.7kg,kg,4125,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,シーズン価格設定あり／要在庫確認
PRD_SNJ_MKB_0003_02,精肉,馬木葉のエゾシカ肉 ロース正肉【3月〜9月販売単価】,ブロック,約0.5〜5.7kg,kg,3900,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,シーズン価格設定あり／要在庫確認
PRD_SNJ_MKB_0003_50,精肉,馬木葉のエゾシカ肉 ロース正肉,ブロック,約0.5〜5.7kg,kg,3900,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／通年同一単価
PRD_SNJ_MKB_0004_00,精肉,馬木葉のエゾシカ肉 ヒレ正肉,ブロック,約0.1〜0.9kg,kg,3000,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,要在庫確認／納期要／原則2本入り/パック（1本入りの場合あり）
PRD_SNJ_MKB_0004_50,精肉,馬木葉のエゾシカ肉 ヒレ正肉,ブロック,約0.1〜0.9kg,kg,3000,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／納期要／原則2本入り/パック
PRD_SNJ_MKB_0005_00,精肉,馬木葉のエゾシカ肉 バラ正肉,ブロック,約0.2〜4.5kg,kg,550,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,要在庫確認
PRD_SNJ_MKB_0005_50,精肉,馬木葉のエゾシカ肉 バラ正肉,ブロック,約0.2〜4.5kg,kg,550,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認
PRD_SNJ_MKB_0006_00,精肉,馬木葉のエゾシカ肉 モモ正肉（内モモ）,ブロック,約0.5〜3.0kg,kg,2750,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,要在庫確認
PRD_SNJ_MKB_0006_50,精肉,馬木葉のエゾシカ肉 モモ正肉（内モモ）,ブロック,約0.5〜3.0kg,kg,2600,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認
PRD_SNJ_MKB_0007_00,精肉,馬木葉のエゾシカ肉 モモ正肉（芯玉）,ブロック,約0.4〜2.9kg,kg,2150,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,要在庫確認
PRD_SNJ_MKB_0007_50,精肉,馬木葉のエゾシカ肉 モモ正肉（芯玉）,ブロック,約0.4〜2.9kg,kg,1975,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認
PRD_SNJ_MKB_0008_00,精肉,馬木葉のエゾシカ肉 モモ正肉（ランプ）,ブロック,約0.2〜1.4kg,kg,1850,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,要在庫確認／納期要
PRD_SNJ_MKB_0008_50,精肉,馬木葉のエゾシカ肉 モモ正肉（ランプ）,ブロック,約0.2〜1.4kg,kg,1850,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／納期要
PRD_SNJ_MKB_0009_00,精肉,馬木葉のエゾシカ肉 モモ正肉（外モモ）,ブロック,約0.4〜3.0kg,kg,2150,+300円/kg,+300円/kg,不可,通常規格品（在庫品）,冷蔵（チルド）,要在庫確認
PRD_SNJ_MKB_0009_50,精肉,馬木葉のエゾシカ肉 モモ正肉（外モモ）,ブロック,約0.4〜3.0kg,kg,2150,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／納期要
PRD_SNJ_MKB_0010_00,精肉,馬木葉のエゾシカ肉 ネック正肉（ネック付きカタロース）,ブロック,約0.3〜4.5kg,kg,800,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,原則2本入り/パック（1本入りの場合あり）
PRD_SNJ_MKB_0010_50,精肉,馬木葉のエゾシカ肉 ネック正肉（ネック付きカタロース）,ブロック,約0.3〜4.5kg,kg,800,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／原則2本入り/パック
PRD_SNJ_MKB_0011_00,精肉,馬木葉のエゾシカ肉 スネ正肉,ブロック,約0.3〜1.8kg,kg,800,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,
PRD_SNJ_MKB_0011_50,精肉,馬木葉のエゾシカ肉 スネ正肉,ブロック,約0.3〜1.8kg,kg,800,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認
PRD_SNJ_MKB_0012_00,骨付き,馬木葉のエゾシカ肉 骨付きロースバラ肉（ヒレ付き）,ブロック,約5.5〜9kg,kg,2350,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,ミートパオ巻（枝肉包装布）出荷／馬木葉から飲食店（エンドユーザー）直販商品
