商品コード,商品名,規格,容量,単位,単価（税抜）,最小注文量,温度帯
PRD_SNJ_UST_0001_00,エゾ鹿 ロース,ぐり身（脂なし）ブロック,約2-3kg/本,kg,"4,675円/kg",1本から,冷凍
PRD_SNJ_UST_0002_00,エゾ鹿 ヒレ,ブロック,約0.2-0.7kg/本,kg,"5,500円/kg",1本から,冷凍
PRD_SNJ_UST_0003_00,エゾ鹿 肩ロース,ブロック,約0.5-1.5kg/個,kg,"3,600円/kg",1個から,冷凍
PRD_SNJ_UST_0004_00,エゾ鹿 内モモ,ブロック,約1.2-2kg/個,kg,"2,900円/kg",1個から,冷凍
PRD_SNJ_UST_0005_00,エゾ鹿 外モモ,ブロック,約1-2kg/個,kg,"2,800円/kg",1個から,冷凍
PRD_SNJ_UST_0006_00,エゾ鹿 シンタマ,ブロック,約1.3-1.8kg/個,kg,"2,800円/kg",1個から,冷凍
PRD_SNJ_UST_0007_00,エゾ鹿 ランイチ,ブロック,約0.7-1.5kg/個,kg,"2,700円/kg",1個から,冷凍
PRD_SNJ_UST_0008_00,エゾ鹿 モモ 4パーツセット,骨をはずした4パーツ,約4-6kg/セット,kg,"2,700円/kg",1セットから,冷凍
PRD_SNJ_UST_0009_00,エゾ鹿 スペアリブ,骨付き,500g/パック,kg,"2,000円/kg",1パックから,冷凍
PRD_SNJ_UST_0010_00,エゾ鹿 バラ,ブロック,約1.5-2.5kg/枚,kg,"2,400円/kg",1枚から,冷凍
PRD_SNJ_UST_0011_00,エゾ鹿 ウデ肉,ブロック,約1-2kg/本,kg,"2,000円/kg",1本から,冷凍
PRD_SNJ_UST_0012_00,エゾ鹿 挽き肉,ミンチ,500g/パック,kg,"2,000円/kg",1パックから,冷凍
PRD_SNJ_UST_0013_00,エゾ鹿 骨付きロース（ヒレ有り）,骨付き1本,約3-5kg/本,kg,"4,300円/kg",1本から,冷蔵
PRD_SNJ_UST_0014_00,エゾ鹿 骨付きロース（ヒレ無し）,骨付き1本,約3-5kg/本,kg,"4,300円/kg",1本から,冷蔵
PRD_SNJ_UST_0015_00,エゾ鹿 骨付きモモ,骨付き1本,約6-10kg/本,kg,"2,000円/kg",1本から,冷蔵
PRD_SNJ_UST_0016_00,エゾ鹿 骨付きウデ,骨付き1本,約3-5kg/本,kg,"1,700円/kg",1本から,冷蔵
PRD_SNJ_UST_0017_00,エゾ鹿 骨付きバラ,骨付き1枚,約2-3kg/枚,kg,"1,800円/kg",1枚から,冷蔵
PRD_SNJ_UST_0018_00,エゾ鹿 バラ付きサドル,骨付き1本,約7-12kg/本,kg,"3,400円/kg",1本から,冷蔵
PRD_SNJ_UST_0019_00,エゾ鹿 サドル,骨付き1本,約6-10kg/本,kg,"3,800円/kg",1本から,冷蔵
PRD_SNJ_UST_0020_00,エゾ鹿 枝肉（半頭）,背割半身,約18-25kg/セット,kg,"1,350円/kg",1セットから,冷蔵
PRD_SNJ_UST_0021_00,エゾ鹿 子鹿半頭セット,背割半身,約5-7kg/セット,kg,"3,000円/kg",1セットから,冷蔵
PRD_SNJ_UST_0022_00,エゾ鹿 トリミング,スジ・脂等,15kg/ケース（C/S）,kg,"1,400円/kg",1ケースから,冷凍
PRD_SNJ_UST_0023_00,エゾ鹿 スネ肉,スジ肉,10kg/ケース（C/S）,kg,"1,100円/kg",1ケースから,冷凍
PRD_SNJ_UST_0024_00,エゾ鹿 丸骨,骨,15kg/ケース（C/S）,kg,200円/kg,1ケースから,冷凍
PRD_SNJ_UST_0101_00,エゾ鹿旨味噌ジンギスカン,味付肉・1ケース20個入,500g/パック,パック,"1,355円/パック",1ケース（20個入り）から,冷凍
PRD_SNJ_UST_0102_00,エゾ鹿プレミアムジンギスカン（極）,味付肉・1ケース20個入,500g/パック,パック,"1,355円/パック",1ケース（20個入り）から,冷凍
PRD_SNJ_UST_0103_00,エゾ鹿味付カルビ,味付肉・1ケース30個入,300g/パック,パック,800円/パック,1ケース（30個入り）から,冷凍
PRD_SNJ_UST_0104_00,エゾ鹿赤肉ジンギスカン,味付肉・1ケース30個入,300g/パック,パック,650円/パック,1ケース（30個入り）から,冷凍
PRD_SNJ_UST_0105_00,エゾ鹿旨辛バラカルビ,味付肉・1ケース30個入,300g/パック,パック,580円/パック,1ケース（30個入り）から,冷凍
PRD_SNJ_UST_0106_00,エゾ鹿バラジンギスカン,味付肉・1ケース30個入,300g/パック,パック,530円/パック,1ケース（30個入り）から,冷凍
PRD_SNJ_UST_0107_00,エゾ鹿ハンバーグ,加工品・1ケース30個入,150g×3枚（450g）/パック,パック,900円/パック,1ケース（30個入り）から,冷凍
PRD_SNJ_UST_0108_00,エゾ鹿ソーセージ,加工品・1ケース30個入,約40g×4本（160g）/パック,パック,850円/パック,1ケース（30個入り）から,冷凍
PRD_SNJ_SBR_0001_00,エゾシカ セロース,ぐり身（脂なし）ブロック,約1.5-2.3kg/本,kg,"6,300円/kg",1本から,冷凍
PRD_SNJ_SBR_0002_00,エゾシカ ヒレ,ブロック,約0.4-0.8kg/本,kg,"4,200円/kg",1本から,冷凍
PRD_SNJ_SBR_0003_00,エゾシカ 内モモ,ブロック,約1.2-1.8kg/個,kg,"3,500円/kg",1個から,冷凍
