仕入先,部位,仕入単価(円/kg・税抜),出典
ユック,ロース,4000.0,鹿肉仕入価格順位表 20260722版
ユック,ヒレ,4000.0,鹿肉仕入価格順位表 20260722版
ユック,内モモ,2650.0,鹿肉仕入価格順位表 20260722版
ユック,カタ,1450.0,鹿肉仕入価格順位表 20260722版
ユック,バラ,1450.0,鹿肉仕入価格順位表 20260722版
ユック,スネ,1250.0,鹿肉仕入価格順位表 20260722版
ユック,ミンチ,1250.0,鹿肉仕入価格順位表 20260722版
上田,ロース,4675.0,鹿肉仕入価格順位表 20260722版
上田,ヒレ,5500.0,鹿肉仕入価格順位表 20260722版
上田,シンタマ,2800.0,鹿肉仕入価格順位表 20260722版
上田,内モモ,2900.0,鹿肉仕入価格順位表 20260722版
上田,外モモ,2800.0,鹿肉仕入価格順位表 20260722版
上田,ランプ,2700.0,鹿肉仕入価格順位表 20260722版
上田,バラ,2400.0,鹿肉仕入価格順位表 20260722版
上田,スネ,1100.0,鹿肉仕入価格順位表 20260722版
上田,ミンチ,2000.0,鹿肉仕入価格順位表 20260722版
あぷか,ロース,4831.0,鹿肉仕入価格順位表 20260722版
あぷか,シンタマ,2825.0,鹿肉仕入価格順位表 20260722版
あぷか,内モモ,3074.0,鹿肉仕入価格順位表 20260722版
あぷか,外モモ,2580.0,鹿肉仕入価格順位表 20260722版
あぷか,カタ,2580.0,鹿肉仕入価格順位表 20260722版
あぷか,バラ,1872.0,鹿肉仕入価格順位表 20260722版
あぷか,スネ,1872.0,鹿肉仕入価格順位表 20260722版
あぷか,ミンチ,1932.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,ロース,4700.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,ヒレ,4500.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,シンタマ,3300.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,内モモ,3300.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,外モモ,3000.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,ランプ,3000.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,カタ,1800.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,バラ,1900.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,スネ,1700.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,ミンチ,2000.0,鹿肉仕入価格順位表 20260722版
エゾモミジ,レバー,1600.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,ロース,4550.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,ヒレ,4000.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,シンタマ,3250.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,内モモ,3450.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,外モモ,2860.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,ランプ,3150.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,カタ,2150.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,ネック,1800.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,バラ,1980.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,スネ,1700.0,鹿肉仕入価格順位表 20260722版
ソヴァージュ,ミンチ,2200.0,鹿肉仕入価格順位表 20260722版
